Código	Produto	Tipo	Valor Investido	Emissão	Vencimento	Dias Corridos	Dias Úteis	Taxa	Tipo Indexador	Preço Unitário	Quantidade	Valor Líquido	Rentabilidade Líquida	Rentabilidade Média	Liquidado?
24L01199296	BANCO PINE S.A	LCI	R$ 1.029,31	31/03/2025	02/12/2025	246	177	100,00% do CDI	PÓS-FIXADO	R$ 102,93	10	R$ 1.129,54	9,737591201873	0,055014640	TRUE
CDB420EPTSO	BANCO PANAMERICANO S.A	CDB	R$ 1.529,36	22/05/2024	03/12/2025	560	401	131,00% do CDI	PÓS-FIXADO	R$ 152,94	10	R$ 1.950,87	27,561202071455	0,068731177	TRUE
20H00647114	BANCO SANTANDER S.A	LCI	R$ 3.406,72	10/10/2023	02/01/2026	815	584	12,60% a.a.	PRÉ-FIXADO	R$ 340,67	10	R$ 4.436,80	30,236708622957	0,051775186	TRUE
23B00244421	BANCO DAYCOVAL S.A	LCA	R$ 5.500,00	07/02/2023	26/01/2026	1084	775	103,00% do CDI	PÓS-FIXADO	R$ 550,00	10	R$ 6.823,38	24,061454545455	0,031047038	TRUE
23B00331337	BANCO DAYCOVAL S.A	LCI	R$ 3.000,00	08/02/2023	26/01/2026	1083	774	103,00% do CDI	PÓS-FIXADO	R$ 300,00	10	R$ 5.430,35	81,011666666667	0,104666236	TRUE
23C00243086	BANCO PINE S.A	LCA	R$ 3.137,26	04/10/2023	05/03/2026	883	632	105,00% do CDI	PÓS-FIXADO	R$ 313,73	10	R$ 4.227,28	34,744331040462	0,054975207	TRUE
23C01807612	BANCO DAYCOVAL S.A	LCA	R$ 2.900,00	23/03/2023	09/03/2026	1082	773	103,00% do CDI	PÓS-FIXADO	R$ 290,00	10	R$ 4.182,32	44,217931034483	0,057203016	TRUE
23D00902593	BANCO DAYCOVAL S.A	LCA	R$ 2.000,23	03/03/2023	23/03/2026	1116	797	IPCA + 5,79%	INFLAÇÃO	R$ 200,02	10	R$ 2.684,08	34,188568314644	0,042896573	TRUE
21D00427767	BANCO PACTUAL S.A	LCA	R$ 7.000,00	09/04/2021	09/04/2026	1826	1305	9,48% a.a.	PRÉ-FIXADO	R$ 700,00	10	R$ 10.993,79	57,054142857143	0,043719650	TRUE
CDB2238S1AM	BANCO PANAMERICANO S.A	CDB	R$ 2.246,52	08/04/2024	27/04/2026	749	536	123,00% do CDI	PÓS-FIXADO	R$ 224,65	10	R$ 2.929,65	30,408364937770	0,056732024	TRUE
23F00982911	BANCO DAYCOVAL S.A	LCI	R$ 5.000,00	13/06/2023	22/05/2026	1074	769	103,00% do CDI	PÓS-FIXADO	R$ 500,00	10	R$ 7.231,18	44,623600000000	0,058028088	TRUE
23F01056136	BANCO DAYCOVAL S.A	LCI	R$ 3.000,00	06/06/2023	25/05/2026	1084	775	103,00% do CDI	PÓS-FIXADO	R$ 300,00	10	R$ 4.338,82	44,627333333333	0,057583656	TRUE
24E02348778	BANCO DAYCOVAL S.A	LCA	R$ 17.000,01	28/05/2024	29/05/2026	731	524	100,00% do CDI	PÓS-FIXADO	R$ 1.700,00	10	R$ 21.824,45	28,379042129975	0,054158477	TRUE
21F00043451	BANCO PACTUAL S.A	LCA	R$ 3.000,00	02/06/2021	02/06/2026	1826	1305	9,19% a.a.	PRÉ-FIXADO	R$ 300,00	10	R$ 4.648,12	54,937333333333	0,042097573	TRUE
23F01648005	BANCO DAYCOVAL S.A	LCI	R$ 2.600,00	20/06/2023	08/06/2026	1084	775	103,00% do CDI	PÓS-FIXADO	R$ 260,00	10	R$ 3.761,22	44,662307692308	0,057628784	TRUE
CDB323NM617	BANCO PINE S.A	CDB	R$ 1.102,20	19/06/2024	21/08/2026	793	568	123,00% do CDI	PÓS-FIXADO	R$ 110,22	10	R$ 1.477,17	34,020141535112	0,059894615	TRUE
BMG0000001	BANCO BMG S.A	CDB	R$ 20.000,00	10/07/2020	10/07/2030	3652	2609	8,71%	PRÉ-FIXADO	R$ 2.000,00	10	R$ 31.254,55	56,272750000000	0,021568704	FALSE
BMG0000002	BANCO BMG S.A	CDB	R$ 10.000,00	17/09/2020	17/09/2030	3652	2609	9,95%	PRÉ-FIXADO	R$ 1.000,00	10	R$ 16.365,40	63,654000000000	0,024397854	FALSE
BMG0000003	BANCO BMG S.A	CDB	R$ 5.000,00	23/11/2020	23/11/2027	2556	1827	10,44%	PRÉ-FIXADO	R$ 500,00	10	R$ 8.245,93	64,918600000000	0,035532895	FALSE
BMG0000004	BANCO BMG S.A	CDB	R$ 20.000,00	23/11/2020	15/12/2027	2578	1843	IPCA + 5.50%	INFLAÇÃO	R$ 2.000,00	10	R$ 35.434,83	77,174150000000	0,041874200	FALSE
BMG0000005	BANCO BMG S.A	CDB	R$ 5.000,00	23/02/2021	23/02/2027	2191	1566	10,35%	PRÉ-FIXADO	R$ 500,00	10	R$ 8.032,47	60,649400000000	0,038728863	FALSE
BMG0000006	BANCO BMG S.A	CDB	R$ 5.700,00	08/04/2024	09/04/2029	1827	1306	123% CDI	PÓS-FIXADO	R$ 570,00	10	R$ 7.803,84	36,909473684211	0,028261465	FALSE
BMG0000007	BANCO BMG S.A	CDB	R$ 15.500,00	06/05/2024	15/05/2029	1835	1312	IPCA + 8,12%	INFLAÇÃO	R$ 1.550,00	10	R$ 19.835,81	27,972967741936	0,021320860	FALSE
BMG0000008	BANCO BMG S.A	CDB	R$ 4.400,00	22/05/2024	15/06/2029	1850	1323	IPCA + 8,01%	INFLAÇÃO	R$ 440,00	10	R$ 5.589,71	27,038863636364	0,020437539	FALSE
BMG0000009	BANCO BMG S.A	CDB	R$ 5.000,00	03/06/2024	15/06/2029	1838	1315	IPCA + 8,13%	INFLAÇÃO	R$ 500,00	10	R$ 6.345,52	26,910400000000	0,020464183	FALSE
BMG0000010	BANCO BMG S.A	CDB	R$ 1.000,00	06/06/2024	16/06/2028	1471	1052	IPCA + 8,22%	INFLAÇÃO	R$ 100,00	10	R$ 1.269,64	26,964000000000	0,025631179	FALSE
CDB420CE6FN	BANCO PAN S.A.	CDB	R$ 20.000,00	26/11/2020	26/11/2026	2098	1498	IPCA + 5,00%	INFLAÇÃO	R$ 1.861,60	20	R$ 34.647,27	73,236350000000	0,036688080	FALSE
24L03534049	BANCO PINE S/A	LCA	R$ 9.258,62	30/12/2024	30/12/2026	603	431	101,00% do CDI	PÓS-FIXADO	R$ 1.237,26	9	R$ 11.135,37	20,270299000000	0,042833190	FALSE
25A01535493	BANCO PINE S/A	LCA	R$ 8.098,30	06/01/2025	06/01/2027	596	426	101,00% do CDI	PÓS-FIXADO	R$ 1.218,59	8	R$ 9.748,68	20,379339000000	0,043548850	FALSE
25A01713044	BANCO PINE S/A	LCA	R$ 17.309,46	07/01/2025	07/01/2027	595	425	101,00% do CDI	PÓS-FIXADO	R$ 1.227,83	17	R$ 20.873,10	20,587817000000	0,044058660	FALSE
25B02782788	BANCO PINE S/A	LCA	R$ 4.025,93	19/02/2025	19/02/2027	552	394	14,20% a.a.	PRÉ-FIXADO	R$ 1.202,05	4	R$ 4.808,19	19,430542000000	0,045077360	FALSE
25D01802186	BANCO PINE S/A	LCA	R$ 5.928,21	04/04/2025	05/04/2027	508	362	101,00% do CDI	PÓS-FIXADO	R$ 1.182,03	6	R$ 7.092,17	19,634257000000	0,049534100	FALSE
24G01082733	BANCO INTER S.A	LCI	R$ 1.364,62	01/07/2024	16/06/2027	785	561	102,00% do CDI	PÓS-FIXADO	R$ 0,01	127129	R$ 1.647,78	20,750099000000	0,033615800	FALSE
CDB220ESY72	BANCO PINE S/A	CDB	R$ 7.919,42	25/06/2020	24/06/2027	2252	1608	17,10% a.a.	PRÉ-FIXADO	R$ 1.609,00	6	R$ 9.350,46	18,070010000000	0,010330610	FALSE
CDB2243VXJV	BANCO BMG S.A	CDB	R$ 1.001,38	07/02/2024	21/07/2027	930	664	123,00% do CDI	PÓS-FIXADO	R$ 1.433,39	1	R$ 1.368,58	36,669396000000	0,047058460	FALSE
CDB320551PJ	BANCO PINE S/A	CDB	R$ 13.607,80	27/07/2020	26/07/2027	2220	1586	13,20% a.a.	PRÉ-FIXADO	R$ 1.553,84	12	R$ 17.890,35	31,471289000000	0,017253590	FALSE
24F02318815	BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL	LCA	R$ 12.165,81	27/06/2024	30/08/2027	789	563	102,00% do CDI	PÓS-FIXADO	R$ 1.311,29	11	R$ 14.424,15	18,563006000000	0,030248680	FALSE
24E02265038	BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL	LCA	R$ 11.037,46	27/05/2024	30/08/2027	820	586	102,00% do CDI	PÓS-FIXADO	R$ 1.322,71	10	R$ 13.227,06	19,837897000000	0,030886990	FALSE
24E02448980	BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL	LCA	R$ 5.564,68	31/05/2024	30/08/2027	816	582	102,00% do CDI	PÓS-FIXADO	R$ 1.321,07	5	R$ 6.605,34	18,701165000000	0,029461200	FALSE
CDBA234AS1G	BANCO PINE S/A	CDB	R$ 1.090,07	09/10/2023	11/10/2027	1051	751	IPCA + 8,00%	INFLAÇÃO	R$ 1.383,62	1	R$ 1.332,25	22,216922000000	0,026718260	FALSE
24J02544804	BANCO ABC BRASIL S.A.	LCA	R$ 5.000,00	16/10/2024	18/10/2027	678	484	IPCA + 6,24%	INFLAÇÃO	R$ 0,01	500000	R$ 6.118,31	22,366200000000	0,041712830	FALSE
24J02600604	BANCO DAYCOVAL S.A.	LCA	R$ 10.000,00	17/10/2024	19/10/2027	677	483	IPCA + 6,59%	INFLAÇÃO	R$ 0,01	1000000	R$ 12.309,13	23,091300000000	0,043022950	FALSE
22H00720993	BANCO COOPERATIVO SICREDI S.A.	LCA	R$ 10.998,98	12/08/2022	25/10/2027	1474	1052	11,97% a.a.	PRÉ-FIXADO	R$ 1.574,76	9	R$ 14.172,88	28,856312000000	0,024102500	FALSE
24K00020857	BANCO ABC BRASIL S.A.	LCA	R$ 2.800,00	01/11/2024	01/11/2027	662	472	IPCA + 6,48%	INFLAÇÃO	R$ 0,01	280000	R$ 3.429,90	22,496429000000	0,042999010	FALSE
24J04979604	BANCO ABC BRASIL S.A.	LCA	R$ 5.000,00	30/10/2024	01/11/2027	664	474	IPCA + 6,32%	INFLAÇÃO	R$ 0,01	500000	R$ 6.113,59	22,271800000000	0,042430150	FALSE
CDBA24BPZXL	BANCO PINE SA	CDB	R$ 5.021,53	30/10/2024	01/11/2027	664	474	17,10% a.a.	PRÉ-FIXADO	R$ 1.238,21	5	R$ 5.986,41	19,214861000000	0,037086460	FALSE
24L01218125	BANCO INTER S.A	LCA	R$ 1.771,06	02/12/2024	17/11/2027	631	451	102,00% do CDI	PÓS-FIXADO	R$ 0,01	172000	R$ 2.108,41	19,047915000000	0,038667310	FALSE
CDB422FJA8N	BANCO PINE S/A	CDB	R$ 3.725,45	17/11/2022	17/11/2027	1377	983	15,23% a.a.	PRÉ-FIXADO	R$ 1.703,57	3	R$ 4.902,92	31,606115000000	0,027943200	FALSE
CDBC23CU2Q5	BANCO PINE S/A	CDB	R$ 2.021,34	27/12/2023	27/12/2027	972	694	17,10% a.a.	PRÉ-FIXADO	R$ 1.236,27	2	R$ 2.393,58	18,415507000000	0,024358800	FALSE
CDB1214VSHT	BANCO PINE S/A	CDB	R$ 5.430,06	26/01/2021	26/01/2028	2037	1455	IPCA + 8,00%	INFLAÇÃO	R$ 1.711,27	4	R$ 6.597,45	21,498657000000	0,013384610	FALSE
25B02386295	BANCO COOPERATIVO SICOOB S.A.	LCA	R$ 14.069,47	13/02/2025	31/01/2028	558	398	102,00% do CDI	PÓS-FIXADO	R$ 1.205,97	14	R$ 16.883,55	20,001322000000	0,045822700	FALSE
21D00544029	BANCO BTG PACTUAL S A	LCA	R$ 5.000,00	16/04/2021	17/04/2028	1957	1397	10,06% a.a.	PRÉ-FIXADO	R$ 1.668,61	5	R$ 8.343,04	66,860800000000	0,036655950	FALSE
CDB2218TYHN	BANCO PINE S/A	CDB	R$ 9.717,44	06/05/2021	04/05/2028	1937	1383	13,20% a.a.	PRÉ-FIXADO	R$ 1.657,39	8	R$ 12.727,87	30,979661000000	0,019515420	FALSE
21F00244087	BANCO BTG PACTUAL S A	LCA	R$ 3.000,00	11/06/2021	11/06/2028	1901	1357	IPCA + 4,28%	INFLAÇÃO	R$ 1.671,54	3	R$ 5.014,62	67,154000000000	0,037866070	FALSE
24K02217344	BANCO ABC BRASIL S.A.	LCA	R$ 1.388,08	25/11/2024	27/11/2028	638	456	IPCA + 6,55%	INFLAÇÃO	R$ 0,01	138808	R$ 1.688,04	21,609705000000	0,042914160	FALSE
24L01269446	BANCO ABC BRASIL S.A.	LCA	R$ 7.000,00	03/12/2024	04/12/2028	630	450	IPCA + 6,92%	INFLAÇÃO	R$ 0,01	700000	R$ 8.546,67	22,095286000000	0,044372420	FALSE
24L01268585	BANCO ABC BRASIL S.A.	LCA	R$ 5.000,00	03/12/2024	04/12/2028	630	450	IPCA + 6,87%	INFLAÇÃO	R$ 0,01	500000	R$ 6.099,87	21,997400000000	0,044194110	FALSE
24L01603698	BANCO ABC BRASIL S.A.	LCA	R$ 4.000,00	06/12/2024	06/12/2028	627	447	IPCA + 6,99%	INFLAÇÃO	R$ 0,01	400000	R$ 4.883,81	22,095250000000	0,044670220	FALSE
24L01603702	BANCO ABC BRASIL S.A.	LCA	R$ 1.200,00	06/12/2024	06/12/2028	627	447	IPCA + 6,99%	INFLAÇÃO	R$ 0,01	120000	R$ 1.465,14	22,095000000000	0,044669760	FALSE
CDB422MO7XT	BANCO PINE S/A	CDB	R$ 1.151,63	07/12/2022	06/12/2028	1357	969	126,00% do CDI	PÓS-FIXADO	R$ 1.610,09	1	R$ 1.541,33	33,838993000000	0,030083710	FALSE
24L01921228	BANCO ABC BRASIL S.A.	LCA	R$ 4.200,00	11/12/2024	11/12/2028	622	444	IPCA + 7,09%	INFLAÇÃO	R$ 0,01	420000	R$ 5.131,50	22,178571000000	0,045125830	FALSE
24L02017296	BANCO ABC BRASIL S.A.	LCA	R$ 3.000,00	12/12/2024	12/12/2028	621	443	IPCA + 7,01%	INFLAÇÃO	R$ 0,01	300000	R$ 3.659,62	21,987333000000	0,044873950	FALSE
24L01597369	BANCO ABC BRASIL S.A.	LCA	R$ 3.000,00	06/12/2024	15/12/2028	627	447	13,89% a.a.	PRÉ-FIXADO	R$ 1,25	3000	R$ 3.745,46	24,848667000000	0,049661580	FALSE
24L02609686	BANCO ABC BRASIL S.A.	LCA	R$ 5.000,00	18/12/2024	18/12/2028	615	439	IPCA + 7,63%	INFLAÇÃO	R$ 0,01	500000	R$ 6.127,89	22,557800000000	0,046346170	FALSE
CDBC248TPD2	BANCO BMG S.A	CDB	R$ 1.044,54	18/12/2024	18/12/2028	615	439	123,00% do CDI	PÓS-FIXADO	R$ 1.203,52	1	R$ 1.171,72	12,175695000000	0,026175670	FALSE
24L02710624	BANCO ABC BRASIL S.A.	LCA	R$ 5.000,00	19/12/2024	19/12/2028	614	438	IPCA + 8,22%	INFLAÇÃO	R$ 0,01	500000	R$ 6.182,87	23,657400000000	0,048492270	FALSE
24L02710639	BANCO ABC BRASIL S.A.	LCA	R$ 5.000,00	19/12/2024	19/12/2028	614	438	IPCA + 8,22%	INFLAÇÃO	R$ 0,01	500000	R$ 6.182,87	23,657400000000	0,048492270	FALSE
CDB3241KWUY	BANCO BMG S.A	CDB	R$ 3.057,31	04/03/2024	07/02/2029	904	646	126,00% do CDI	PÓS-FIXADO	R$ 1.408,64	3	R$ 4.050,62	32,489672000000	0,043559720	FALSE
CDB4243GKTZ	BANCO BMG S.A	CDB	R$ 4.189,41	04/04/2024	03/04/2029	873	623	125,50% do CDI	PÓS-FIXADO	R$ 1.392,12	4	R$ 5.327,15	27,157523000000	0,038571880	FALSE
CDB2232OLP6	BANCO BMG S.A	CDB	R$ 7.394,05	06/04/2023	04/04/2029	1237	883	123,00% do CDI	PÓS-FIXADO	R$ 1,51	5920	R$ 8.664,74	17,185304000000	0,017961560	FALSE
CDB4244XXRT	BANCO BMG S.A	CDB	R$ 8.547,41	08/04/2024	09/04/2029	869	621	125,00% do CDI	PÓS-FIXADO	R$ 1.392,64	8	R$ 10.687,23	25,034718000000	0,035984130	FALSE
CDB42461BH5	BANCO BMG S.A	CDB	R$ 4.211,00	09/04/2024	09/04/2029	868	620	125,50% do CDI	PÓS-FIXADO	R$ 1.389,27	4	R$ 5.321,52	26,371883000000	0,037758550	FALSE
CDB42483K8S	BANCO BMG S.A	CDB	R$ 4.018,48	12/04/2024	11/04/2029	865	617	126,00% do CDI	PÓS-FIXADO	R$ 1.389,93	4	R$ 5.328,53	32,600635000000	0,045743310	FALSE
CDB4248Q6I8	BANCO BMG S.A	CDB	R$ 5.902,06	15/04/2024	16/04/2029	862	616	125,00% do CDI	PÓS-FIXADO	R$ 1.392,08	6	R$ 7.984,89	35,289882000000	0,049078530	FALSE
CDB4248Q5OQ	BANCO BMG S.A	CDB	R$ 1.970,82	15/04/2024	16/04/2029	862	616	IPCA + 8,20%	INFLAÇÃO	R$ 1.277,95	2	R$ 2.468,13	25,233659000000	0,036534440	FALSE
CDB424B5RXS	BANCO BMG S.A	CDB	R$ 2.339,72	19/04/2024	18/04/2029	858	612	123,00% do CDI	PÓS-FIXADO	R$ 1.395,06	2	R$ 2.706,78	15,688202000000	0,023814680	FALSE
CDB424CYICH	BANCO BMG S.A	CDB	R$ 11.438,10	24/04/2024	23/04/2029	853	609	125,09% do CDI	PÓS-FIXADO	R$ 1.384,76	11	R$ 14.628,34	27,891346000000	0,040404030	FALSE
CDB424CBBA4	BANCO BMG S.A	CDB	R$ 1.124,82	23/04/2024	23/04/2029	854	610	124,00% do CDI	PÓS-FIXADO	R$ 1.406,29	1	R$ 1.357,04	20,645081000000	0,030772410	FALSE
CDB424BMZG7	BANCO BMG S.A	CDB	R$ 4.891,11	22/04/2024	23/04/2029	855	611	124,00% do CDI	PÓS-FIXADO	R$ 1.393,42	5	R$ 6.655,71	36,077700000000	0,050431020	FALSE
CDB424CB9PG	BANCO BMG S.A	CDB	R$ 20.314,79	23/04/2024	23/04/2029	854	610	124,00% do CDI	PÓS-FIXADO	R$ 1.391,21	20	R$ 26.662,62	31,247333000000	0,044585900	FALSE
CDB424BMU4G	BANCO BMG S.A	CDB	R$ 3.064,41	22/04/2024	23/04/2029	855	611	IPCA + 8,20%	INFLAÇÃO	R$ 1.288,87	3	R$ 3.726,21	21,596327000000	0,032007830	FALSE
CDB424EFPVX	BANCO BMG S.A	CDB	R$ 2.181,42	29/04/2024	30/04/2029	848	606	124,00% do CDI	PÓS-FIXADO	R$ 1.384,16	2	R$ 2.665,61	22,196092000000	0,033084170	FALSE
CDB7240IHDZ	BANCO BMG S.A	CDB	R$ 4.907,69	01/07/2024	02/07/2029	785	561	IPCA + 8,20%	INFLAÇÃO	R$ 1.241,54	5	R$ 5.980,19	21,853459000000	0,035237750	FALSE
22G00278986	BANCO COOPERATIVO SICREDI S.A.	LCA	R$ 5.309,17	08/07/2022	13/11/2029	1509	1077	13,04% a.a.	PRÉ-FIXADO	R$ 1.656,15	4	R$ 6.624,61	24,776754000000	0,020555130	FALSE
CDB422LG4K8	BANCO PINE S/A	CDB	R$ 6.243,21	05/12/2022	05/12/2029	1359	971	124,00% do CDI	PÓS-FIXADO	R$ 1.581,74	5	R$ 7.617,26	22,008710000000	0,020488430	FALSE
25B02303651	BANCO COOPERATIVO DO BRASIL S/A	LCA	R$ 1.072,60	12/02/2025	17/01/2030	559	399	103,00% do CDI	PÓS-FIXADO	R$ 1.214,37	1	R$ 1.214,37	13,217416000000	0,031117580	FALSE
25B02386293	BANCO COOPERATIVO DO BRASIL S/A	LCA	R$ 12.182,88	13/02/2025	18/01/2030	558	398	103,00% do CDI	PÓS-FIXADO	R$ 1.213,55	12	R$ 14.562,52	19,532656000000	0,044839050	FALSE
CDB2244NNO2	BANCO BMG S.A	CDB	R$ 5.867,64	08/02/2024	06/02/2030	929	663	126,00% do CDI	PÓS-FIXADO	R$ 1.348,81	6	R$ 7.759,07	32,234936000000	0,042152170	FALSE
25H05032125	BANCO INTER S.A	LCI	R$ 1.053,01	29/08/2025	29/08/2030	361	257	103,00% do CDI	PÓS-FIXADO	R$ 0,01	99082	R$ 1.053,92	0,086419000000	0,000336120	FALSE
CDB224C9BQ9	BANCO BMG S.A	CDB	R$ 1.121,06	28/02/2024	23/01/2031	909	649	124,00% do CDI	PÓS-FIXADO	R$ 1.361,96	1	R$ 1.319,81	17,728757000000	0,025151560	FALSE
21C00482331	BANCO BTG PACTUAL S A	LCA	R$ 4.000,00	10/03/2021	10/03/2031	1994	1424	IPCA + 4,32%	INFLAÇÃO	R$ 1.728,80	4	R$ 6.915,18	72,879500000000	0,038450130	FALSE
21C00549500	BANCO BTG PACTUAL S A	LCA	R$ 4.000,00	15/03/2021	17/03/2031	1989	1421	9,44% a.a.	PRÉ-FIXADO	R$ 1.632,40	4	R$ 6.529,58	63,239500000000	0,034492100	FALSE
21D00402756	BANCO BTG PACTUAL S A	LCA	R$ 16.000,00	08/04/2021	08/04/2031	1965	1403	10,49% a.a.	PRÉ-FIXADO	R$ 1.707,78	16	R$ 27.324,43	70,777688000000	0,038153570	FALSE
21D00428280	BANCO BTG PACTUAL S A	LCA	R$ 8.000,00	09/04/2021	09/04/2031	1964	1402	IPCA + 4,50%	INFLAÇÃO	R$ 1.723,91	8	R$ 13.791,31	72,391375000000	0,038851850	FALSE
21D00500691	BANCO BTG PACTUAL S A	LCA	R$ 2.000,00	14/04/2021	14/04/2031	1959	1399	IPCA + 4,76%	INFLAÇÃO	R$ 1.745,86	2	R$ 3.491,70	74,585000000000	0,039839350	FALSE
21D00500693	BANCO BTG PACTUAL S A	LCA	R$ 3.000,00	14/04/2021	14/04/2031	1959	1399	10,52% a.a.	PRÉ-FIXADO	R$ 1.707,55	3	R$ 5.122,65	70,755000000000	0,038253180	FALSE
21D00544040	BANCO BTG PACTUAL S A	LCA	R$ 1.000,00	16/04/2021	16/04/2031	1957	1397	10,35% a.a.	PRÉ-FIXADO	R$ 1.692,23	1	R$ 1.692,22	69,222000000000	0,037662160	FALSE
CDB624A0ZWZ	BANCO PINE S/A	CDB	R$ 1.669,30	27/06/2024	27/06/2031	789	563	126,00% do CDI	PÓS-FIXADO	R$ 1.126,47	2	R$ 2.150,81	28,845025000000	0,045026140	FALSE
CDB724AKOGA	BANCO PINE S/A	CDB	R$ 10.356,30	29/07/2024	29/07/2031	757	541	124,00% do CDI	PÓS-FIXADO	R$ 1.136,03	11	R$ 12.121,78	17,047401000000	0,029100130	FALSE
CDB8245VBYY	BANCO BMG S.A	CDB	R$ 9.761,46	14/08/2024	13/08/2031	741	529	124,00% do CDI	PÓS-FIXADO	R$ 1.121,04	10	R$ 10.920,59	11,874556000000	0,021213600	FALSE
CDB8245VD8T	BANCO PINE S/A	CDB	R$ 3.900,80	14/08/2024	14/08/2031	741	529	124,00% do CDI	PÓS-FIXADO	R$ 1.108,96	4	R$ 4.328,84	10,973134000000	0,019683970	FALSE
